antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Toast'}),frozenset({'Coffee'}),0.03359746434231379,0.47839408346539886,0.023666138404648707,0.7044025157232704,1.4724314954330286,0.007593310243846081,1.7645817176383314
frozenset({'Spanish Brunch'}),frozenset({'Coffee'}),0.018172213417855257,0.47839408346539886,0.010882197569994718,0.5988372093023255,1.2517655004519679,0.0021887181874222297,1.3002350383181362
frozenset({'Medialuna'}),frozenset({'Coffee'}),0.061806656101426306,0.47839408346539886,0.03518225039619651,0.5692307692307692,1.1898783636857841,0.00561431179849357,1.2108708776696098
frozenset({'Pastry'}),frozenset({'Coffee'}),0.0861067089276281,0.47839408346539886,0.04754358161648178,0.5521472392638037,1.154168202215526,0.006350641518827256,1.1646817040430137
frozenset({'Alfajores'}),frozenset({'Coffee'}),0.036344426835710514,0.47839408346539886,0.0196513470681458,0.5406976744186046,1.1302348693401265,0.002264388303000825,1.1356483246069797
frozenset({'Juice'}),frozenset({'Coffee'}),0.03856312731114633,0.47839408346539886,0.020602218700475437,0.5342465753424658,1.11674996369621,0.0021538467549000982,1.1199185855007614
frozenset({'Sandwich'}),frozenset({'Coffee'}),0.07184363444268357,0.47839408346539886,0.038246170100369785,0.5323529411764706,1.1127916493452503,0.0038766004483390126,1.1153837208916
frozenset({'Cake'}),frozenset({'Coffee'}),0.10385631273111463,0.47839408346539886,0.054727945060750134,0.5269582909460835,1.1015150670946732,0.005043699519652715,1.1026636902226088
frozenset({'Scone'}),frozenset({'Coffee'}),0.03454833597464342,0.47839408346539886,0.018066561014263075,0.5229357798165138,1.0931067040554998,0.0015388414904188678,1.0933662481206066
frozenset({'Cookies'}),frozenset({'Coffee'}),0.054410987849973586,0.47839408346539886,0.02820919175911252,0.5184466019417476,1.083722854986449,0.002179297096177455,1.083173576674676
frozenset({'Hot chocolate'}),frozenset({'Coffee'}),0.05832012678288431,0.47839408346539886,0.029582673005810883,0.5072463768115942,1.0603107236134584,0.0016826694059270814,1.0585531835555142
frozenset({'Brownie'}),frozenset({'Coffee'}),0.04004226096143687,0.47839408346539886,0.0196513470681458,0.4907651715039578,1.025859617554099,0.000495366335616889,1.0242934837648388
frozenset({'Muffin'}),frozenset({'Coffee'}),0.03845747490755415,0.47839408346539886,0.018806127839408347,0.489010989010989,1.0221928027802585,0.00040829937861540724,1.0207771699924455
frozenset({'Pastry'}),frozenset({'Bread'}),0.0861067089276281,0.32720549392498677,0.029160063391442156,0.33865030674846625,1.0349774470049187,0.0009854751665225349,1.017305236458508
frozenset({'Cake'}),frozenset({'Tea'}),0.10385631273111463,0.14263074484944532,0.02377179080824089,0.2288911495422177,1.6047812817904374,0.008958687566085076,1.1118654060857458
"frozenset({'Coffee', 'Tea'})",frozenset({'Cake'}),0.049867934495509775,0.10385631273111463,0.010036978341257264,0.20127118644067796,1.9379773953825197,0.0048578785410368615,1.1219623883048115
frozenset({'Sandwich'}),frozenset({'Tea'}),0.07184363444268357,0.14263074484944532,0.014368726888536715,0.2,1.4022222222222223,0.004121615795285492,1.0717115689381933
frozenset({'Hot chocolate'}),frozenset({'Cake'}),0.05832012678288431,0.10385631273111463,0.011410459587955626,0.1956521739130435,1.883873678623557,0.005353546262274139,1.1141245841721277
"frozenset({'Coffee', 'Cake'})",frozenset({'Tea'}),0.054727945060750134,0.14263074484944532,0.010036978341257264,0.1833976833976834,1.2858215358215357,0.00223109077316295,1.049922633966873
frozenset({'Tea'}),frozenset({'Cake'}),0.14263074484944532,0.10385631273111463,0.02377179080824089,0.16666666666666669,1.6047812817904377,0.008958687566085076,1.0753724247226626
frozenset({'Pastry'}),"frozenset({'Coffee', 'Bread'})",0.0861067089276281,0.09001584786053883,0.011199154780771263,0.13006134969325153,1.4448716840922837,0.003448186370170191,1.0460325585242043
"frozenset({'Coffee', 'Bread'})",frozenset({'Pastry'}),0.09001584786053883,0.0861067089276281,0.011199154780771263,0.12441314553990611,1.4448716840922837,0.003448186370170191,1.0437494423507518
frozenset({'Coffee'}),frozenset({'Cake'}),0.47839408346539886,0.10385631273111463,0.054727945060750134,0.11439929328621908,1.101515067094673,0.005043699519652715,1.0119048917589808
"frozenset({'Coffee', 'Bread'})",frozenset({'Cake'}),0.09001584786053883,0.10385631273111463,0.010036978341257264,0.11150234741784038,1.0736212800710674,0.0006882642950967067,1.0086055766883624
frozenset({'Cake'}),frozenset({'Hot chocolate'}),0.10385631273111463,0.05832012678288431,0.011410459587955626,0.1098677517802645,1.883873678623557,0.005353546262274139,1.0579100747113426
frozenset({'Tea'}),frozenset({'Sandwich'}),0.14263074484944532,0.07184363444268357,0.014368726888536715,0.10074074074074074,1.4022222222222223,0.004121615795285492,1.0321343439064063
frozenset({'Coffee'}),frozenset({'Pastry'}),0.47839408346539886,0.0861067089276281,0.04754358161648178,0.09938162544169611,1.154168202215526,0.006350641518827256,1.014739779788058
frozenset({'Cake'}),"frozenset({'Coffee', 'Tea'})",0.10385631273111463,0.049867934495509775,0.010036978341257264,0.09664292980671414,1.9379773953825197,0.0048578785410368615,1.051779077016795
frozenset({'Cake'}),"frozenset({'Coffee', 'Bread'})",0.10385631273111463,0.09001584786053883,0.010036978341257264,0.09664292980671414,1.0736212800710674,0.0006882642950967067,1.007336060307534
frozenset({'Bread'}),frozenset({'Pastry'}),0.32720549392498677,0.0861067089276281,0.029160063391442156,0.08911850177591218,1.034977447004919,0.0009854751665225349,1.0033064595714767
frozenset({'Coffee'}),frozenset({'Sandwich'}),0.47839408346539886,0.07184363444268357,0.038246170100369785,0.0799469964664311,1.1127916493452503,0.0038766004483390126,1.0088074947776113
frozenset({'Coffee'}),frozenset({'Medialuna'}),0.47839408346539886,0.061806656101426306,0.03518225039619651,0.07354240282685512,1.1898783636857841,0.00561431179849357,1.0126673328182936
frozenset({'Tea'}),"frozenset({'Coffee', 'Cake'})",0.14263074484944532,0.054727945060750134,0.010036978341257264,0.07037037037037037,1.285821535821536,0.00223109077316295,1.0168265132812648
frozenset({'Coffee'}),frozenset({'Hot chocolate'}),0.47839408346539886,0.05832012678288431,0.029582673005810883,0.061837455830388695,1.0603107236134584,0.0016826694059270814,1.003749168061935
frozenset({'Coffee'}),frozenset({'Cookies'}),0.47839408346539886,0.054410987849973586,0.02820919175911252,0.05896643109540636,1.083722854986449,0.002179297096177455,1.0048408934558366
frozenset({'Coffee'}),frozenset({'Toast'}),0.47839408346539886,0.03359746434231379,0.023666138404648707,0.04946996466431095,1.4724314954330286,0.007593310243846081,1.01669857840567
frozenset({'Coffee'}),frozenset({'Juice'}),0.47839408346539886,0.03856312731114633,0.020602218700475437,0.04306537102473498,1.11674996369621,0.0021538467549000982,1.004704860266589
frozenset({'Coffee'}),frozenset({'Brownie'}),0.47839408346539886,0.04004226096143687,0.0196513470681458,0.04107773851590106,1.025859617554099,0.000495366335616889,1.0010798347228498
frozenset({'Coffee'}),frozenset({'Alfajores'}),0.47839408346539886,0.036344426835710514,0.0196513470681458,0.04107773851590106,1.1302348693401265,0.002264388303000825,1.0049360744559888
frozenset({'Coffee'}),frozenset({'Muffin'}),0.47839408346539886,0.03845747490755415,0.018806127839408347,0.03931095406360424,1.0221928027802587,0.00040829937861540724,1.0008884031307115
frozenset({'Coffee'}),frozenset({'Scone'}),0.47839408346539886,0.03454833597464342,0.018066561014263075,0.03776501766784452,1.0931067040554998,0.0015388414904188678,1.0033429274057413
frozenset({'Coffee'}),frozenset({'Spanish Brunch'}),0.47839408346539886,0.018172213417855257,0.010882197569994718,0.022747349823321553,1.2517655004519679,0.0021887181874222297,1.0046816311059779
